"";"DecisionTreeClassifier_256_manual";"DecisionTreeClassifier_400_manual";"DecisionTreeClassifier_512_manual";"DecisionTreeClassifier_256_unet";"DecisionTreeClassifier_400_unet";"DecisionTreeClassifier_512_unet";"KNeighborsClassifier_256_manual";"KNeighborsClassifier_400_manual";"KNeighborsClassifier_512_manual";"KNeighborsClassifier_256_unet";"KNeighborsClassifier_400_unet";"KNeighborsClassifier_512_unet";"MLPClassifier_256_manual";"MLPClassifier_400_manual";"MLPClassifier_512_manual";"MLPClassifier_256_unet";"MLPClassifier_400_unet";"MLPClassifier_512_unet";"RandomForestClassifier_256_manual";"RandomForestClassifier_400_manual";"RandomForestClassifier_512_manual";"RandomForestClassifier_256_unet";"RandomForestClassifier_400_unet";"RandomForestClassifier_512_unet";"SVC_256_manual";"SVC_400_manual";"SVC_512_manual";"SVC_256_unet";"SVC_400_unet";"SVC_512_unet"
"lbp_59_mean";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"lbp_59_std";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"lbp_59_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"surf128_128_top_k";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"mobilenetv2_1280_mean";"";"";"";"52,0";"53,067";"49,867";"";"";"";"71,733";"73,867";"75,467";"";"";"";"79,733";"81,6";"86,4";"";"";"";"81,333";"80,8";"82,667";"";"";"";"83,2";"81,6";"83,467"
"mobilenetv2_1280_std";"";"";"";"±0.059";"±0.059";"±0.038";"";"";"";"±0.055";"±0.039";"±0.02";"";"";"";"±0.032";"±0.01";"±0.035";"";"";"";"±0.04";"±0.043";"±0.044";"";"";"";"±0.029";"±0.031";"±0.045"
"mobilenetv2_1280_top_k";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0"
"mobilenetv2_1024_mean";"";"";"";"45,6";"46,133";"55,467";"";"";"";"70,133";"76,267";"75,2";"";"";"";"81,067";"82,667";"86,4";"";"";"";"67,2";"70,4";"74,133";"";"";"";"83,2";"81,6";"83,467"
"mobilenetv2_1024_std";"";"";"";"±0.047";"±0.032";"±0.064";"";"";"";"±0.052";"±0.028";"±0.025";"";"";"";"±0.026";"±0.028";"±0.034";"";"";"";"±0.025";"±0.035";"±0.073";"";"";"";"±0.029";"±0.031";"±0.045"
"mobilenetv2_1024_top_k";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0"
"mobilenetv2_512_mean";"";"";"";"44,8";"47,733";"53,867";"";"";"";"70,133";"76,533";"75,2";"";"";"";"83,467";"83,467";"85,067";"";"";"";"71,467";"73,6";"76,533";"";"";"";"82,933";"81,6";"83,467"
"mobilenetv2_512_std";"";"";"";"±0.041";"±0.042";"±0.079";"";"";"";"±0.042";"±0.027";"±0.025";"";"";"";"±0.037";"±0.022";"±0.033";"";"";"";"±0.045";"±0.046";"±0.034";"";"";"";"±0.027";"±0.031";"±0.045"
"mobilenetv2_512_top_k";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0"
"mobilenetv2_256_mean";"";"";"";"46,933";"49,333";"49,867";"";"";"";"72,0";"76,8";"75,2";"";"";"";"82,133";"82,133";"84,8";"";"";"";"75,2";"76,0";"80,267";"";"";"";"82,667";"81,067";"83,467"
"mobilenetv2_256_std";"";"";"";"±0.042";"±0.086";"±0.014";"";"";"";"±0.058";"±0.032";"±0.036";"";"";"";"±0.052";"±0.014";"±0.043";"";"";"";"±0.052";"±0.045";"±0.053";"";"";"";"±0.032";"±0.035";"±0.049"
"mobilenetv2_256_top_k";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0"
"mobilenetv2_128_mean";"";"";"";"51,733";"53,6";"57,067";"";"";"";"74,4";"78,133";"78,667";"";"";"";"83,2";"84,8";"87,2";"";"";"";"78,4";"78,4";"81,6";"";"";"";"83,467";"82,133";"85,067"
"mobilenetv2_128_std";"";"";"";"±0.049";"±0.047";"±0.044";"";"";"";"±0.044";"±0.04";"±0.028";"";"";"";"±0.043";"±0.029";"±0.036";"";"";"";"±0.033";"±0.042";"±0.028";"";"";"";"±0.027";"±0.037";"±0.046"
"mobilenetv2_128_top_k";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0";"";"";"";"0";"0";"0"
"resnet50v2_2048_mean";"";"";"";"51,733";"50,667";"";"";"";"";"62,667";"73,067";"";"";"";"";"81,067";"81,867";"";"";"";"";"77,067";"80,267";"";"";"";"";"80,8";"81,067";""
"resnet50v2_2048_std";"";"";"";"±0.026";"±0.03";"";"";"";"";"±0.038";"±0.052";"";"";"";"";"±0.02";"±0.04";"";"";"";"";"±0.028";"±0.028";"";"";"";"";"±0.02";"±0.036";""
"resnet50v2_2048_top_k";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";""
"resnet50v2_1024_mean";"";"";"";"43,2";"49,6";"";"";"";"";"61,867";"72,0";"";"";"";"";"80,267";"81,867";"";"";"";"";"67,467";"67,733";"";"";"";"";"80,8";"81,067";""
"resnet50v2_1024_std";"";"";"";"±0.052";"±0.031";"";"";"";"";"±0.035";"±0.05";"";"";"";"";"±0.037";"±0.031";"";"";"";"";"±0.018";"±0.049";"";"";"";"";"±0.02";"±0.036";""
"resnet50v2_1024_top_k";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";""
"resnet50v2_512_mean";"";"";"";"51,2";"47,467";"";"";"";"";"65,6";"73,333";"";"";"";"";"79,733";"82,4";"";"";"";"";"75,2";"73,6";"";"";"";"";"80,0";"80,267";""
"resnet50v2_512_std";"";"";"";"±0.018";"±0.023";"";"";"";"";"±0.028";"±0.055";"";"";"";"";"±0.042";"±0.044";"";"";"";"";"±0.014";"±0.043";"";"";"";"";"±0.025";"±0.034";""
"resnet50v2_512_top_k";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";""
"resnet50v2_256_mean";"";"";"";"50,133";"56,0";"";"";"";"";"70,667";"75,467";"";"";"";"";"79,467";"81,333";"";"";"";"";"75,733";"78,667";"";"";"";"";"80,0";"80,267";""
"resnet50v2_256_std";"";"";"";"±0.032";"±0.048";"";"";"";"";"±0.034";"±0.039";"";"";"";"";"±0.038";"±0.035";"";"";"";"";"±0.024";"±0.044";"";"";"";"";"±0.028";"±0.031";""
"resnet50v2_256_top_k";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";""
"resnet50v2_128_mean";"";"";"";"54,933";"50,133";"";"";"";"";"72,8";"76,0";"";"";"";"";"81,867";"82,667";"";"";"";"";"76,0";"78,4";"";"";"";"";"76,8";"80,8";""
"resnet50v2_128_std";"";"";"";"±0.043";"±0.061";"";"";"";"";"±0.018";"±0.051";"";"";"";"";"±0.035";"±0.035";"";"";"";"";"±0.019";"±0.053";"";"";"";"";"±0.023";"±0.036";""
"resnet50v2_128_top_k";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";""
"vgg16_512_mean";"";"";"";"50,667";"52,533";"";"";"";"";"66,933";"72,267";"";"";"";"";"80,267";"83,2";"";"";"";"";"77,6";"81,067";"";"";"";"";"78,667";"84,533";""
"vgg16_512_std";"";"";"";"±0.039";"±0.03";"";"";"";"";"±0.028";"±0.046";"";"";"";"";"±0.026";"±0.027";"";"";"";"";"±0.064";"±0.073";"";"";"";"";"±0.029";"±0.031";""
"vgg16_512_top_k";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";""
"vgg16_256_mean";"";"";"";"49,333";"46,933";"";"";"";"";"69,067";"73,867";"";"";"";"";"79,733";"83,467";"";"";"";"";"73,067";"76,533";"";"";"";"";"78,133";"83,467";""
"vgg16_256_std";"";"";"";"±0.051";"±0.027";"";"";"";"";"±0.058";"±0.043";"";"";"";"";"±0.038";"±0.034";"";"";"";"";"±0.028";"±0.076";"";"";"";"";"±0.038";"±0.03";""
"vgg16_256_top_k";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";""
"vgg16_128_mean";"";"";"";"51,733";"52,533";"";"";"";"";"73,067";"74,667";"";"";"";"";"80,533";"84,533";"";"";"";"";"77,6";"78,933";"";"";"";"";"78,4";"82,667";""
"vgg16_128_std";"";"";"";"±0.021";"±0.046";"";"";"";"";"±0.057";"±0.051";"";"";"";"";"±0.049";"±0.026";"";"";"";"";"±0.031";"±0.049";"";"";"";"";"±0.036";"±0.028";""
"vgg16_128_top_k";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";"";"";"";"";"0";"0";""
